id,hhb,hbo2,ca,na
10102,10.234378,6.670691,8.917975,2.8125105
10103,4.6494317,7.6968956,6.9660153,8.241309
10104,7.715505,6.4274015,5.698579,6.956682
10105,11.669224,9.560977,8.903623,10.036027
10106,10.321716,8.751253,11.896937,8.117845
10107,10.155914,6.4572873,7.6354012,7.674774
10108,8.685407,10.341563,12.3755665,10.394346
10109,6.628669,7.662171,8.570675,8.2152815
10110,9.527732,7.0384946,10.889376,4.9657025
10111,11.642387,11.182746,8.29387,6.1109443
10112,2.4864311,6.698466,5.4822025,9.098105
10113,12.361654,7.3449426,11.374341,8.051884
10114,6.3646355,7.7714877,11.079245,9.123838
10115,6.341957,6.878659,2.8361204,5.7182126
10116,11.194784,5.944064,9.537732,9.1368475
10117,4.953638,5.936769,9.141595,5.7964334
10118,11.750164,3.353431,9.675565,5.8943768
10119,8.431551,10.553517,4.27654,5.59675
10120,10.807738,8.328415,8.831831,9.839118
10121,7.370311,6.2428064,9.361067,11.48013
10122,8.7684355,8.5941515,7.940205,8.129097
10123,9.508604,4.1443615,5.949282,5.5001187
10124,7.4441113,5.8803296,9.020001,7.794716
10125,11.464944,3.3002791,4.5310664,9.164132
10126,8.599474,4.332073,6.829411,8.205746
10127,9.860929,11.965778,6.0881977,7.1515207
10128,6.7656617,9.473332,9.368441,10.185323
10129,10.054122,4.8121243,9.355184,8.826826
10130,5.1848526,5.4842067,5.8896446,11.234738
10131,10.977607,5.389615,6.9479,6.2474737
10132,9.4266,8.485047,6.698446,9.334504
10133,9.816309,12.738259,7.467791,6.164408
10134,8.125581,10.054432,4.1344833,9.543921
10135,9.631498,5.7998395,6.7035623,12.485209
10136,8.523824,11.717937,11.4202585,6.3538375
10137,8.799403,10.757487,6.972297,8.405983
10138,8.548479,10.233789,7.3570547,9.091098
10139,5.0506873,2.5585728,7.0811934,9.344484
10140,9.074254,8.447464,12.812643,7.3185325
10141,9.544875,8.665928,7.359602,6.1432705
10142,9.058367,8.874448,7.630946,7.1567698
10143,10.5187025,8.731203,11.5107975,5.2394323
10144,8.628763,10.534327,7.1164427,8.630837
10145,9.096157,6.4220023,5.629317,6.6386614
10146,10.2842,12.139535,7.9188743,11.355482
10147,6.3343577,3.552561,10.981027,8.257429
10148,7.899487,7.231078,8.8104105,5.441795
10149,7.537143,2.25987,10.128591,8.049429
10150,9.339684,8.114109,8.026098,8.333998
10151,9.944059,7.0915885,12.010149,9.781841
10152,7.277234,6.6813335,8.85606,6.0435257
10153,8.041819,9.862716,13.381919,4.4101253
10154,9.201949,9.966448,6.3783197,5.95519
10155,8.207729,8.013243,5.106338,8.675547
10156,5.09903,11.341018,6.9665956,7.0327
10157,4.2661867,7.309896,9.249601,9.023549
10158,9.576063,8.376979,9.803874,4.6323466
10159,6.533863,8.002235,11.218456,8.7122965
10160,8.426575,7.102721,7.0556116,7.3549876
10161,6.4088826,8.759465,6.9141912,12.118998
10162,6.213269,8.589572,4.968418,6.7475953
10163,4.446262,9.906641,6.6551414,6.7344975
10164,8.816367,7.1697965,8.483589,7.347271
10165,9.5894575,9.957292,3.2412493,4.8441505
10166,8.7902,7.4900813,10.172365,3.084279
10167,9.835539,4.598311,8.890013,8.759225
10168,7.172898,10.428274,9.487627,9.886794
10169,11.831335,7.317705,10.695881,4.9810653
10170,5.0237713,5.6967707,7.65438,4.4058695
10171,9.42563,12.429986,7.6225514,8.73879
10172,11.733127,3.044284,7.882442,10.772671
10173,5.724391,11.437906,6.175232,10.770807
10174,6.895405,5.819101,5.716567,6.6317663
10175,9.34828,8.303499,7.2011914,5.7428904
10176,8.463753,8.238905,6.726615,10.738113
10177,6.33651,6.4392185,6.059024,6.917148
10178,11.552013,11.639882,6.608226,7.6096745
10179,4.633837,11.218148,6.372845,4.8459086
10180,6.100386,8.284737,8.244246,8.864978
10181,8.900783,7.599682,7.9328775,7.003202
10182,7.166364,11.285694,9.668751,8.0243635
10183,3.8602717,4.1971965,8.013582,8.643213
10184,11.70025,6.228377,5.127904,6.046723
10185,7.052283,10.4420595,11.869374,7.1344256
10186,8.187597,11.670099,5.074123,9.150756
10187,2.5838194,5.2095222,9.770804,7.219299
10188,8.93786,10.392859,12.401483,6.51098
10189,5.493904,9.424921,11.205287,6.3860126
10190,8.473255,13.1071825,5.368582,9.592187
10191,8.104402,9.403564,7.1558933,4.958624
10192,8.308366,8.177982,7.8605,12.541398
10193,4.542048,6.438199,12.387787,8.60682
10194,8.886781,5.9697595,9.37107,5.330983
10195,4.357189,4.920697,5.0344396,5.419576
10196,9.147794,10.854622,10.861017,7.9802966
10197,8.167313,9.544561,7.39484,6.5471263
10198,5.641312,4.649488,5.963417,9.4854
10199,6.232857,4.7231603,4.363307,8.040115
10200,6.2419353,4.5308475,6.874383,5.7524033
10201,10.585567,8.979522,6.439342,6.6931686
10202,2.0459547,5.9420185,5.6024528,7.4640665
10203,10.112362,9.875957,9.343475,4.0899954
10204,7.503085,3.926571,11.84795,4.94615
10205,8.088597,11.851943,7.0290947,8.644746
10206,11.886808,8.750403,6.3180594,6.5912027
10207,4.9554825,6.063023,4.856381,7.537028
10208,4.090357,8.945743,10.323397,6.7657914
10209,7.4248533,8.025057,9.738858,11.968488
10210,12.059416,12.821084,5.1125655,10.060612
10211,9.28965,8.660388,8.040483,6.930901
10212,10.161697,10.623552,6.121003,9.837798
10213,4.7607555,10.724896,11.114429,9.187091
10214,9.540173,4.645207,11.5642395,7.640704
10215,7.440472,9.418727,9.227302,11.385938
10216,9.842949,7.9701757,4.394023,11.634502
10217,7.281074,10.1095915,6.7231827,8.819125
10218,10.883836,9.104741,8.004453,5.6803093
10219,9.54488,8.41095,13.947685,9.168585
10220,8.718204,9.192379,7.7903576,12.644695
10221,5.6057944,6.3344183,5.357661,5.6065464
10222,9.065335,7.7170515,5.7103405,10.276434
10223,8.170273,10.157149,12.906158,8.747479
10224,6.0449853,6.916108,8.561183,7.4751043
10225,9.358259,10.200244,8.808275,7.9739513
10226,6.773218,8.59089,7.434726,7.0413857
10227,4.042514,9.342711,8.714607,4.2101235
10228,6.6739287,9.846765,6.330139,9.760117
10229,10.664669,6.9055195,5.560916,11.67481
10230,8.3659935,7.5836897,7.582952,3.705282
10231,9.328607,7.5673966,8.105181,8.846165
10232,9.181702,8.956917,6.1803536,11.194725
10233,5.665616,5.8321095,7.518404,8.543219
10234,8.552999,7.374762,8.367212,7.5388384
10235,8.567854,8.696168,5.9805994,6.4963393
10236,5.782724,7.8445134,9.8073635,12.551823
10237,8.3312435,7.439326,11.309418,4.1685343
10238,7.8950176,6.8291516,12.191095,8.097967
10239,5.866158,6.3299313,11.034475,5.307825
10240,9.545723,9.2686205,6.11473,11.361504
10241,6.368145,7.350591,10.341788,8.326139
10242,9.379901,9.779651,8.490174,7.160517
10243,5.0584645,6.3718944,5.263988,7.0957985
10244,5.6030407,13.016689,9.536755,8.910033
10245,7.0470963,9.579686,4.1199846,6.973085
10246,5.3230734,6.639562,9.057438,5.9917517
10247,11.939704,12.640496,11.663292,10.505637
10248,9.580691,8.006857,6.1702495,5.35424
10249,9.967755,6.561205,7.7617416,11.863131
10250,11.3130665,7.8991785,9.075302,8.686875
10251,3.2566302,9.228778,5.6241016,6.691691
10252,11.386875,11.218662,11.74362,9.909255
10253,8.510092,5.4083347,8.212164,8.484413
10254,11.602641,5.5809765,5.146834,4.8102117
10255,11.298654,8.041011,7.0594506,7.184732
10256,5.700072,7.4461207,8.695788,8.475126
10257,6.0930367,14.641995,4.5646043,10.911056
10258,7.859817,8.481522,10.317971,8.968797
10259,10.093867,9.517832,5.4995146,11.423608
10260,8.018351,7.560558,5.9036875,11.640293
10261,9.634563,5.7776356,9.758953,2.2347524
10262,7.2518115,9.5354185,11.069365,6.854715
10263,2.2519295,12.511812,7.749533,12.181662
10264,4.9436045,6.610263,1.6658059,4.8000617
10265,4.560161,9.21884,8.466099,8.6108055
10266,5.468018,5.2924905,6.210814,4.0072007
10267,9.6856575,9.879028,5.2493405,6.2891293
10268,7.3014917,2.8463228,11.600953,12.461608
10269,6.702443,7.786676,8.206574,9.733792
10270,3.7361188,8.214317,5.162041,5.5991096
10271,11.491135,3.4990175,9.82462,8.424542
10272,9.191729,11.161378,11.803831,10.056053
10273,9.6986685,8.465744,9.6834,9.365847
10274,7.4235005,10.327861,7.873,7.8690867
10275,10.879808,6.04551,8.79532,8.101718
10276,12.447025,8.929461,8.11894,4.146119
10277,9.34447,6.360766,10.1549835,6.0935135
10278,10.356632,10.750439,6.757381,8.702383
10279,6.8723197,6.8927207,3.8761342,8.454249
10280,6.9917955,9.598671,7.1411877,4.932775
10281,6.5151887,7.7358646,8.514645,5.647759
10282,3.4351048,9.374135,4.2605076,6.4395795
10283,9.6999855,9.777685,9.456691,8.502034
10284,12.8492565,10.785602,7.571364,11.36955
10285,2.8389616,7.742401,8.109185,8.787779
10286,11.560214,11.3289175,6.462084,8.054379
10287,2.6332583,7.223961,8.090039,7.0530767
10288,6.2657228,9.683799,4.340968,6.815176
10289,7.063685,4.6393366,9.173125,10.228284
10290,6.597722,14.554756,5.6024923,7.9996943
10291,10.683196,8.649722,7.027333,5.3271847
10292,8.630606,9.820262,3.6546667,11.098009
10293,6.6661215,9.65897,7.988123,5.8768907
10294,10.696857,7.6563106,5.317523,7.247274
10295,9.72268,4.75301,10.898075,7.345851
10296,9.21996,6.0472226,7.706885,7.921825
10297,7.419477,11.156082,8.744417,12.015205
10298,6.312587,9.035072,7.036796,7.4176574
10299,2.2343884,10.478861,5.4147077,3.0739498
10300,10.182211,5.867936,8.088795,7.1473575
10301,11.230871,2.9453447,7.484454,7.8957825
10302,11.399367,7.360189,6.6452856,10.519807
10303,7.7249093,10.70131,8.733556,11.319827
10304,9.713055,6.8893785,9.168015,9.981956
10305,5.959107,6.8224072,5.1530466,4.1815987
10306,4.2392025,11.728645,7.4468446,10.218321
10307,8.892847,1.5439708,8.481581,4.6642365
10308,4.7572217,12.587214,8.760097,12.44819
10309,7.680707,5.8836327,11.676287,9.105476
10310,6.303177,5.854628,5.809515,12.351516
10311,4.167001,12.521352,10.849435,6.472346
10312,4.430767,10.6881695,6.5126324,7.658791
10313,11.476938,7.4094324,5.716938,9.453006
10314,2.0025988,3.8598785,7.4790974,7.1248546
10315,2.0134616,2.7297063,5.565976,5.159079
10316,11.996733,3.1177583,5.785676,3.5849307
10317,8.660938,3.030413,8.7751,8.559454
10318,4.2261705,6.7590437,6.2842755,5.8682976
10319,11.946924,9.682809,10.882979,8.134068
10320,8.761484,10.823641,11.223811,7.444307
10321,6.997813,4.441058,8.5268545,7.2336082
10322,10.678181,13.014948,3.053619,8.009632
10323,3.5487006,8.851011,6.5138173,7.724195
10324,2.9224548,6.844604,4.0861073,8.766104
10325,11.886343,5.7944865,9.658476,7.388872
10326,7.034864,8.385946,12.582044,6.999033
10327,7.9856796,5.8032746,7.828765,11.846284
10328,4.232156,13.272546,10.898078,10.540335
10329,8.423068,8.494248,6.900867,9.725462
10330,9.937385,8.456381,7.2933984,9.461975
10331,7.9685388,11.214391,7.244236,9.018835
10332,11.634837,3.2227614,11.603321,10.234142
10333,10.615013,7.0909257,9.715525,8.946514
10334,13.1438055,8.227602,7.861335,6.958353
10335,2.5877385,7.987992,8.762091,5.1074376
10336,9.952468,9.54172,8.19244,10.796988
10337,6.9441204,7.9262896,4.757246,8.763244
10338,2.5509117,8.99355,6.5480065,8.588831
10339,7.8084936,10.797068,8.319538,5.54385
10340,6.3953333,7.6345005,5.37033,4.635318
10341,4.0170956,5.8835144,3.6416051,7.016959
10342,8.35754,10.948876,3.9200237,7.702314
10343,4.3588886,7.0229335,10.853382,11.963396
10344,6.9190235,8.719506,12.010897,10.3171
10345,9.274648,9.257138,12.47424,8.117128
10346,5.6312494,9.211077,6.756739,4.7921968
10347,8.920974,12.054032,9.561585,9.476785
10348,7.932195,10.510886,10.477926,9.154333
10349,10.25336,8.3869505,7.4104805,12.452169
10350,8.545628,4.070197,5.3216734,5.161862
10351,5.879917,5.922516,9.586328,7.049613
10352,5.4591646,9.977204,8.8414,7.3840427
10353,3.888599,6.043797,9.955275,6.2276473
10354,9.989555,6.75229,4.434056,9.724416
10355,11.1787815,5.3236384,6.375332,6.41553
10356,6.848882,10.600822,10.171672,7.5659685
10357,9.427645,8.496849,7.509318,7.2853947
10358,7.002226,7.2907043,4.4050074,7.7641335
10359,5.3158975,9.42978,6.912817,10.099148
10360,9.351956,5.146697,9.434372,8.686958
10361,7.799964,5.6590357,10.58478,9.362074
10362,1.7810016,5.754014,7.1217976,4.9484324
10363,5.5997095,3.5228665,5.4770107,7.5424623
10364,7.0591564,8.757985,8.186909,8.347013
10365,8.65696,9.337415,5.490956,5.778306
10366,7.273302,9.527068,9.584315,8.220463
10367,10.160719,8.20481,8.959532,9.588893
10368,9.646316,4.399229,6.703714,7.730756
10369,11.499959,6.2898054,10.4732895,8.460375
10370,8.67453,4.5377793,10.098439,8.688214
10371,6.7477956,10.44521,10.014915,1.2909956
10372,6.198568,6.7913356,8.335661,4.196479
10373,7.6160917,7.1832643,10.24782,7.93152
10374,5.8186617,8.472435,7.330125,10.939565
10375,8.340036,5.692276,10.183999,7.618657
10376,7.9879894,11.76046,7.1913958,9.347911
10377,8.771697,10.394613,9.5032835,6.0414953
10378,11.863177,9.606682,10.444678,8.520415
10379,8.761076,7.341796,5.4100127,2.7343154
10380,7.356303,7.8074727,10.373293,9.695034
10381,7.5513744,8.128993,10.858384,0.5868245
10382,4.5508285,7.091689,8.465442,7.4340005
10383,11.130618,8.120151,6.3709073,5.365129
10384,3.1450832,8.589891,5.4673567,10.842453
10385,9.439608,8.030548,11.677215,6.54575
10386,7.1800303,6.03798,7.6909585,9.411153
10387,5.417515,10.256067,3.677393,7.1752896
10388,4.4395466,6.8220663,11.293615,0.72142714
10389,8.826111,6.2828617,6.9715977,9.321623
10390,11.554496,7.6660066,4.705171,7.413238
10391,8.339813,8.9705925,8.823091,6.1157174
10392,6.8634267,9.845148,5.2107816,5.9034886
10393,7.339209,7.890096,7.0945306,7.228481
10394,9.594345,9.726973,6.3129134,8.855842
10395,8.6983385,5.365631,6.638179,7.1175814
10396,6.1646647,7.107263,9.205994,10.395666
10397,10.937471,9.904716,7.3584933,9.826656
10398,9.903361,10.375468,12.169692,8.62106
10399,6.5801835,11.021085,5.7818823,8.620025
10400,7.110773,6.678948,5.9904575,10.960125
10401,6.0380335,6.0065713,5.663015,7.5370097
10402,11.556522,6.759803,9.624959,9.338196
10403,7.4300027,13.6669855,5.590766,9.84289
10404,7.195975,9.210174,5.8469334,6.5632353
10405,8.102722,1.7802687,4.2106104,9.926753
10406,6.1002674,11.347983,2.0125067,7.011445
10407,4.8325653,2.1043348,5.09845,9.2269125
10408,5.515087,6.6706553,6.4292808,5.3860188
10409,7.3309894,9.187004,7.4635053,8.691967
10410,4.121028,8.535961,6.9552283,9.28021
10411,4.420703,11.001405,7.5092187,10.058975
10412,6.4325027,8.688515,11.525639,10.696474
10413,7.3228517,5.4378715,12.941568,7.3421674
10414,6.600657,10.156709,7.985178,3.351629
10415,10.06397,11.241185,7.6949544,6.634986
10416,11.5370865,10.273317,3.6924362,9.87391
10417,8.090183,10.0592785,5.463079,4.6003113
10418,2.3290188,13.812798,12.580835,6.5841985
10419,11.217301,5.8318205,8.206401,6.5443735
10420,9.822169,8.181882,8.983366,9.943546
10421,6.9204373,7.5729413,5.9534683,10.058659
10422,5.2436905,2.8581407,7.112441,5.827579
10423,6.4036345,8.81363,8.510698,3.7736416
10424,8.647203,6.1021304,10.812296,7.1148047
10425,5.7063084,4.4139357,5.0939426,7.4559894
10426,8.32237,6.732384,8.001171,5.5454655
10427,8.683878,9.456591,8.077142,7.0565724
10428,6.5467725,8.45869,9.585069,9.554293
10429,5.312377,7.78572,6.732352,5.803682
10430,10.088739,6.8671713,9.506719,7.548382
10431,5.4689946,1.384452,9.4397135,6.2066426
10432,9.385571,8.727111,10.432606,6.130605
10433,6.8528423,6.7101665,6.879998,4.964854
10434,10.062862,9.034529,5.575856,1.722374
10435,5.908145,10.749467,8.564152,7.2976637
10436,6.569196,6.160655,8.5763645,6.4739857
10437,7.622809,9.044685,9.074037,6.5224276
10438,8.658921,11.737133,7.244034,12.6542015
10439,8.997286,8.881444,10.814938,5.5157127
10440,10.004652,5.8346767,6.991331,8.972253
10441,7.31639,6.085502,4.965743,3.969715
10442,6.4631853,12.56654,7.7981186,8.061241
10443,5.8213654,2.1748228,9.140977,8.453014
10444,9.573078,2.534895,6.31824,9.1733055
10445,5.526326,5.3704753,7.3082395,5.5460334
10446,13.073649,10.896208,10.2617655,5.0486126
10447,12.630673,6.837728,2.814823,8.859107
10448,5.2495375,5.733486,9.058005,2.8493376
10449,11.781531,7.138502,5.9095826,7.6779056
10450,9.378249,6.255866,8.7582655,11.096325
10451,6.39865,9.590592,5.2810144,10.223347
10452,5.986156,7.105142,9.58883,10.781629
10453,10.70017,7.3140974,14.4624605,9.135944
10454,9.946654,7.1868997,7.3055625,9.24238
10455,9.645502,7.15061,5.658648,6.4358487
10456,10.286624,4.076223,4.7777677,11.341925
10457,9.7857275,5.483412,7.5221357,6.6069465
10458,10.914942,3.6842108,5.8888907,10.167915
10459,8.808573,8.122868,7.159276,10.626547
10460,9.849068,6.4265647,7.842753,11.24036
10461,9.2865095,4.785818,5.367609,9.196402
10462,7.132195,7.3330126,6.3426886,2.4710763
10463,7.7479453,9.822011,9.802964,8.717412
10464,6.3443723,5.189028,0.69251645,3.4464128
10465,13.197793,6.611158,11.54509,4.892904
10466,4.0543966,5.2004886,8.89715,7.0924625
10467,11.011725,9.982119,4.5196915,7.616719
10468,6.102741,5.7878036,4.021729,11.998792
10469,10.248171,7.751755,5.2651367,1.8522241
10470,6.0794525,10.044178,8.5326395,7.2413416
10471,10.435954,8.44054,5.078613,8.301237
10472,5.800051,10.248575,4.3722486,6.430498
10473,5.2841845,5.567875,6.8083644,6.9702673
10474,12.460487,10.131716,7.9076643,3.9529345
10475,4.2445498,5.616776,6.5637426,10.176786
10476,10.9977045,8.059061,9.288395,11.043951
10477,8.142532,6.63116,10.168714,2.6802194
10478,4.07975,9.173664,5.9239097,9.712186
10479,5.4954705,10.503533,5.220397,8.903093
10480,3.7563627,10.411569,10.77156,9.101372
10481,6.294051,9.171113,6.183609,8.466578
10482,9.587173,10.051867,10.280908,4.706869
10483,8.454311,9.938223,7.084311,7.360868
10484,8.562639,8.342575,7.626102,8.167032
10485,7.183904,9.569299,8.181751,8.438318
10486,7.1848626,9.332226,6.552179,10.76418
10487,7.226946,5.9455857,4.6084747,7.5284576
10488,8.923694,7.625047,5.8563695,9.393502
10489,5.515126,2.1356196,5.044663,8.7762375
10490,6.462132,9.814999,4.5763793,8.887432
10491,9.12069,7.1810255,6.780585,9.148396
10492,8.60006,7.480392,9.389551,8.563814
10493,10.49112,10.05865,5.659106,8.705905
10494,8.455044,7.4502068,4.2667847,8.988004
10495,4.4967737,7.7414613,8.310505,8.62704
10496,3.558345,4.0813246,6.2686625,4.8535323
10497,10.239005,8.788622,11.913214,6.6810193
10498,7.2916493,3.811111,6.884106,5.3750415
10499,5.4389143,5.382626,7.519694,8.22373
10500,10.034556,11.769365,5.5828815,11.232759
10501,9.069019,5.1467977,9.192441,8.81574
10502,10.795254,11.312337,5.4534645,11.402029
10503,11.587575,7.596632,12.185634,5.1683397
10504,9.119783,6.5964303,7.9988604,7.0546393
10505,7.0221386,5.8005967,9.904287,10.875539
10506,6.275926,7.420794,7.506233,8.242808
10507,10.143582,10.670144,9.446956,7.178121
10508,4.9039845,6.575965,10.025097,6.6846824
10509,8.65241,8.193256,11.060374,2.9907732
10510,10.102328,7.199765,8.151254,10.080912
10511,4.091198,7.202417,7.5601707,11.237385
10512,6.735603,8.889649,9.003758,7.285921
10513,9.115289,9.834726,11.703323,7.9652057
10514,5.1436663,13.0400095,7.5602016,9.258967
10515,8.237917,6.1493735,10.46203,13.339256
10516,13.768127,10.045519,6.000834,3.4285817
10517,3.5666516,9.369749,7.609929,10.786579
10518,9.91754,8.08926,2.4901066,8.236941
10519,7.748713,13.12502,8.878984,9.259589
10520,9.1637535,7.765788,8.695154,6.371491
10521,7.281199,1.9497164,7.5965843,5.9459667
10522,8.3098135,4.220042,9.248729,2.9641182
10523,5.31419,6.414953,9.437194,11.037788
10524,9.56003,8.137745,8.676293,5.859257
10525,8.958134,4.734398,5.165762,7.8883853
10526,11.38158,8.0585785,7.890746,6.1585
10527,6.670525,7.9283333,5.6831946,8.35252
10528,6.8964105,7.0713043,5.960435,10.661442
10529,8.146936,8.799929,6.027516,2.3502274
10530,6.952842,9.382855,6.170591,10.922648
10531,11.256795,10.926046,8.198922,5.4557376
10532,9.127232,13.766838,8.632978,11.629159
10533,6.413106,6.6739984,7.492654,6.9405923
10534,4.9368777,6.1760974,8.033218,9.184241
10535,8.7276325,5.5008426,6.293971,6.1576943
10536,11.041991,14.1121645,10.269758,10.733777
10537,9.204173,11.432325,5.7541475,13.106767
10538,7.2426586,9.555959,11.694626,7.1107917
10539,8.0341625,9.507284,9.188931,7.7271194
10540,7.1460376,13.342322,7.137501,9.596809
10541,5.2149634,5.161014,10.214398,6.6511993
10542,6.7080426,5.0036154,10.281381,10.523629
10543,9.393815,4.84208,6.141322,6.1256113
10544,9.506006,9.116154,11.460877,6.6862574
10545,6.5397716,6.789737,4.189895,6.352219
10546,7.005818,5.809296,7.0590067,3.7663238
10547,5.550971,7.911182,10.95697,9.599683
10548,6.993871,7.738674,9.9152155,10.49644
10549,8.950771,6.6099796,9.088548,7.7448707
10550,6.2134438,8.986639,12.256918,4.684284
10551,4.1042504,8.883867,8.697652,2.5346363
10552,8.137195,8.135252,7.2837358,4.59381
10553,6.7603154,8.148607,7.546468,8.5490055
10554,11.625465,8.149138,6.1421714,9.045614
10555,10.559421,10.707797,7.5274158,5.4523916
10556,11.909509,5.734828,2.6901171,11.79974
10557,6.682794,5.039821,5.842543,5.8378363
10558,9.257939,8.96262,8.989287,4.947552
10559,10.624493,5.1059456,10.768421,7.7242236
10560,8.426566,7.734355,6.3262205,9.249351
10561,7.8520503,10.106344,9.14777,8.318819
10562,9.550921,2.4431334,10.074331,14.516733
10563,10.540444,9.207959,8.747188,10.198395
10564,8.6958685,7.655149,8.538437,6.599212
10565,4.8627887,8.914611,6.5914125,10.467294
10566,11.757515,6.2551227,1.9511932,9.5373955
10567,8.235624,3.991001,3.5071065,10.571083
10568,8.11738,6.033094,7.788292,7.8555045
10569,11.49378,7.3149314,7.9925957,8.531281
10570,9.154773,11.657813,9.916376,8.514224
10571,3.882356,6.4789877,7.70431,6.559888
10572,11.472962,11.619776,10.142968,9.216547
10573,12.115163,8.2198715,7.030577,11.886673
10574,8.275583,6.48912,6.325486,6.291823
